"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Channel Islands","CHI","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","70000000","1230000000","3210000000","8590000000","8110000000","8260000000","8540000000","5160000000","6600000000","19430000000","26340000000","50850000000","55010000000","93480000000","138320000000","129480000000","179430000000","261680000000","215610000000","228740000000","210900000000","192360000000","165940000000","140780000000","233230000000","120710000000","495620000000","521790000000","542380000000","587040000000","560980000000","556000000000","539000000000","521302000000","441928000000","511016830530.857","500725636340","667174818934.937","788226119472.905","807255000000","806428713243.61","1045176107528.1","1282110306360","1412636857000","1731458100362.87","1752052830143.08","1823130619759.55","2050789912516.84","2620289288198.02","",
"China","CHN","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81501130000","100090000000","101214720000","127000000000","132070250000","150888430000","181996000000","206041000000","231540610000","260360270000","357839940000","340761478440.94","449600050506.88","419888000000","461163790000","559116560000","590847580000","","",
"Cote d'Ivoire","CIV","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","343200000000","","","","","","259700000000","265617000000","218000000000","186100000000","177100000000","131900000000","166200000000","181900000000","168430000000","194330000000","219250000000","232921000000","214779000000","138501000000","297665000000","360135000000","379459243000","434160000000","520934847529.66","663819801013.155","784525510081.319","970313180934.558","",
"Cameroon","CMR","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38080000000","42970000000","39400000000","57880000000","107180000000","123200000000","","","168200000000","166200000000","","","","","","","","","","","","","51246000000","57954000000","69200000000","69900000000","144800000000","174000000000","171686357046.078","231602146469.873","197529817166","241618433000","","",
"Congo, Dem. Rep.","COD","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.276876666666667","1.96333333333333","380","3040","427240","210000","10090000","800000","27757000","296000000","","","4624489000","6875567000","39042560000","99878099000","113097292000","34396000000","41015365000","63111000000","51512400000","","102521895975.53","64316967116.47","67952802968.46","52119412562.55","37892007874.92","71177541357.583","82603603420.74","66055447042.12","41597863071.27","83375012302.65","119329176441.369","",
"Congo, Rep.","COG","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152000000000","177800000000","117800000000","33732000000","86384000000","200622000000","111480000000","183250000000","48559000000","55885000000","10700000000","13000000000","18100000000","15000000000","28200000000","33600000000","94300000000","166800000000","241836000000","107100000000","152600000000","","",
"Colombia","COL","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4267272601249.53","5193621746449.14","6663821667342.91","","","12993936884000","","","","","14918226000000","16242574000000","15208950000000","16155843000000","16105530000000","17492556000000","17344728264592.2","18941493291156.7","26239032033788.3","26915767814972.5","29296672452803.3","34174975568945.7","34385004054549","43773732771621.7","63988655347728.2","",
"Comoros","COM","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1927102601","1919959429","1885255273","1845434737.33","1818254300.03185","2159070215","2276321582","2857729387","3315949933.99","3427980827","4097531945","4203058298","4473525194","4691112514","4950144646","4770183925","","","",
"Costa Rica","CRI","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","140000000","170000000","200000000","230000000","320000000","450000000","620000000","900000000","910000000","1600000000","2460000000","3520000000","3670000000","5830000000","6470000000","8600000000","10720000000","16210000000","27700000000","33100000000","33510000000","52860000000","91290000000","114010000000","113670000000","116090000000","164250000000","176000000000","213900000000","260552000000","298500000000","333800000000","394600700000","438200000000","421435800000","342583511577.02","364773347205.17","409774488961.4","456654121679.49","478154685601.03","635370000000","699956104252.02","808409060585.31","883348117309.751","882504419442.589","1240928268554.56","1556098375972.65","1709799583096.64","1925015993788.57","2053477394668.24","",
"Caribbean small states","CSS","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","3810181.21426887","4596137.87730191","4168987.51695787","5074546.28088724","7056523.95288361","11242597.4842552","13002456.9688727","19119250.1289994","25099355.173816","35829372.2256584","50506258.6070798","71675830.4657306","89616145.6001804","99474775.916921","107214740.446355","123822346.456531","142651134.340497","167152479.009831","333035898.454731","377993409.291011","418425975.854808","475119148.61069","541562846.444048","239204201.792665","298492671.808418","323096532.564235","439623150.86609","462176689.892256","560762993.059661","603307168.949928","585366853.815478","677631331.649791","681561114.964957","756910438.529646","775192473.952371","809022782.491619","816540628.833675","402700000","350000000","395900000","628100000","576100000","571300000","552300000","492800000","494600000","503800000","506300000","452100000","430500000","401400000","",
"Czechia","CZE","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17739000000","15030000000","15098000000","18567000000","18959000000","20797000000","18173000000","16326000000","22789000000","31510000000","29134000000","31772000000","33483000000","34358000000","38373000000","38236000000","46579000000","50823000000","52830000000","56094000000","53443000000","53914000000","47632000000","42581000000","36809000000","38842000000","39372000000","42454000000","46098000000","74532000000","",
"Germany","DEU","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","1559440237.64847","1809973259.43461","2397958922.81026","2888799128.75863","3742656570.35632","4596514011.954","5092467136.71434","5920759984.25221","7219441362.49061","9315738075.3951","11519406083.3508","13845784142.7936","14454221481.4171","15190481790.3397","15742677022.0316","16141484689.3646","16785712459.6719","16688567002.2446","17823634978.5002","25478000000","34318000000","35447000000","39538000000","44439000000","44649000000","44863000000","45812000000","43949000000","44874000000","42961000000","42473000000","40340000000","39348000000","38636000000","38928000000","40613000000","41648000000","39484000000","37399000000","41550000000","38100000000","28851000000","26522000000","23717000000","20492000000","18093000000","16967000000","14931000000","10576000000","10407000000","16690000000","",
"Djibouti","DJI","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","670000000","804000000","939000000","1176000000","1711000000","3118000000","3961000000","8013000000","10057000000","15581000000","21520000000","29154000000","41531000000","47869000000","46338000000","46551000000","46360000000","46688000000","49312000000","49491000000","46229000000","52838000000","54767000000","57610000000","58626000000","55260000000","51394000000","49287000000","47550000000","44430000000","41840000000","38043000000","35936000000","30443000000","27520000000","25248000000","22172000000","29657000000","31637000000","33328000000","31364000000","30187000000","27282000000","30072000000","26738000000","16097000000","16839000000","15651000000","11651000000","12681000000","18104000000","",
"Dominican Republic","DOM","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","2500000","4400000","6500000","6100000","9500000","8400000","12400000","57600000","64800000","74400000","69400000","97200000","79100000","52900000","22800000","22900000","24100000","343100000","281100000","734200000","648300000","1639900000","1300600000","1511600000","1054100000","1113300000","1300600000","1778500000","2458300000","3070817740.89","4607842710.51","7874367535.68","15507871570.7717","12560851714.4151","16454250715.7214","16835180388.7795","25260295631.5253","32006430811.8384","35820272614.1719","44858981309.1718","57194179058","59241678802.8733","70041879871.9031","80139019717.7793","95636443042.773","109116548122.721","109673336819.286","125327963382.518","144448486040.866","168028689681.278","179441435981.832","",
"Algeria","DZA","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
